grinning face,#1f600
grinning face with big eyes,#1f603
grinning face with smiling eyes,#1f604
beaming face with smiling eyes,#1f601
grinning squinting face,#1f606
grinning face with sweat,#1f605
rolling on the floor laughing,#1f923
face with tears of joy,#1f602
slightly smiling face,#1f642
upside-down face,#1f643
winking face,#1f609
smiling face with smiling eyes,#1f60a
smiling face with halo,#1f607
smiling face with hearts,#1f970
smiling face with heart-eyes,#1f60d
star-struck,#1f929
face blowing a kiss,#1f618
kissing face,#1f617
smiling face,#263a
kissing face with closed eyes,#1f61a
kissing face with smiling eyes,#1f619
smiling face with tear,#1f972
face savoring food,#1f60b
face with tongue,#1f61b
winking face with tongue,#1f61c
zany face,#1f92a
squinting face with tongue,#1f61d
money-mouth face,#1f911
hugging face,#1f917
face with hand over mouth,#1f92d
shushing face,#1f92b
thinking face,#1f914
zipper-mouth face,#1f910
face with raised eyebrow,#1f928
neutral face,#1f610
expressionless face,#1f611
face without mouth,#1f636
smirking face,#1f60f
unamused face,#1f612
face with rolling eyes,#1f644
grimacing face,#1f62c
lying face,#1f925
relieved face,#1f60c
pensive face,#1f614
sleepy face,#1f62a
drooling face,#1f924
sleeping face,#1f634
face with medical mask,#1f637
face with thermometer,#1f912
face with head-bandage,#1f915
nauseated face,#1f922
face vomiting,#1f92e
sneezing face,#1f927
hot face,#1f975
cold face,#1f976
woozy face,#1f974
dizzy face,#1f635
exploding head,#1f92f
cowboy hat face,#1f920
partying face,#1f973
disguised face,#1f978
smiling face with sunglasses,#1f60e
nerd face,#1f913
face with monocle,#1f9d0
confused face,#1f615
worried face,#1f61f
slightly frowning face,#1f641
frowning face,#2639
face with open mouth,#1f62e
hushed face,#1f62f
astonished face,#1f632
flushed face,#1f633
pleading face,#1f97a
frowning face with open mouth,#1f626
anguished face,#1f627
fearful face,#1f628
anxious face with sweat,#1f630
sad but relieved face,#1f625
crying face,#1f622
loudly crying face,#1f62d
face screaming in fear,#1f631
confounded face,#1f616
persevering face,#1f623
disappointed face,#1f61e
downcast face with sweat,#1f613
weary face,#1f629
tired face,#1f62b
yawning face,#1f971
face with steam from nose,#1f624
pouting face,#1f621
angry face,#1f620
face with symbols on mouth,#1f92c
smiling face with horns,#1f608
angry face with horns,#1f47f
skull,#1f480
skull and crossbones,#2620
pile of poo,#1f4a9
clown face,#1f921
ogre,#1f479
goblin,#1f47a
ghost,#1f47b
alien,#1f47d
alien monster,#1f47e
robot,#1f916
grinning cat,#1f63a
grinning cat with smiling eyes,#1f638
cat with tears of joy,#1f639
smiling cat with heart-eyes,#1f63b
cat with wry smile,#1f63c
kissing cat,#1f63d
weary cat,#1f640
crying cat,#1f63f
pouting cat,#1f63e
see-no-evil monkey,#1f648
hear-no-evil monkey,#1f649
speak-no-evil monkey,#1f64a
kiss mark,#1f48b
love letter,#1f48c
heart with arrow,#1f498
heart with ribbon,#1f49d
sparkling heart,#1f496
growing heart,#1f497
beating heart,#1f493
revolving hearts,#1f49e
two hearts,#1f495
heart decoration,#1f49f
heart exclamation,#2763
broken heart,#1f494
red heart,#2764
orange heart,#1f9e1
yellow heart,#1f49b
green heart,#1f49a
blue heart,#1f499
purple heart,#1f49c
brown heart,#1f90e
black heart,#1f5a4
white heart,#1f90d
hundred points,#1f4af
anger symbol,#1f4a2
collision,#1f4a5
dizzy,#1f4ab
sweat droplets,#1f4a6
dashing away,#1f4a8
hole,#1f573
bomb,#1f4a3
speech balloon,#1f4ac
eye in speech bubble,#1f441_fe0f_200d_1f5e8_fe0f
left speech bubble,#1f5e8
right anger bubble,#1f5ef
thought balloon,#1f4ad
zzz,#1f4a4
waving hand,#1f44b
raised back of hand,#1f91a
hand with fingers splayed,#1f590
raised hand,#270b
vulcan salute,#1f596
OK hand,#1f44c
pinched fingers,#1f90c
pinching hand,#1f90f
victory hand,#270c
crossed fingers,#1f91e
love-you gesture,#1f91f
sign of the horns,#1f918
call me hand,#1f919
backhand index pointing left,#1f448
backhand index pointing right,#1f449
backhand index pointing up,#1f446
middle finger,#1f595
backhand index pointing down,#1f447
index pointing up,#261d
thumbs up,#1f44d
thumbs down,#1f44e
raised fist,#270a
oncoming fist,#1f44a
left-facing fist,#1f91b
right-facing fist,#1f91c
clapping hands,#1f44f
raising hands,#1f64c
open hands,#1f450
palms up together,#1f932
handshake,#1f91d
folded hands,#1f64f
writing hand,#270d
nail polish,#1f485
selfie,#1f933
flexed biceps,#1f4aa
mechanical arm,#1f9be
mechanical leg,#1f9bf
leg,#1f9b5
foot,#1f9b6
ear,#1f442
ear with hearing aid,#1f9bb
nose,#1f443
brain,#1f9e0
anatomical heart,#1fac0
lungs,#1fac1
tooth,#1f9b7
bone,#1f9b4
eyes,#1f440
eye,#1f441
tongue,#1f445
mouth,#1f444
baby,#1f476
child,#1f9d2
boy,#1f466
girl,#1f467
person,#1f9d1
person: blond hair,#1f471
man,#1f468
man: beard,#1f9d4
man: red hair,#1f468_200d_1f9b0
man: curly hair,#1f468_200d_1f9b1
man: white hair,#1f468_200d_1f9b3
man: bald,#1f468_200d_1f9b2
woman,#1f469
woman: red hair,#1f469_200d_1f9b0
person: red hair,#1f9d1_200d_1f9b0
woman: curly hair,#1f469_200d_1f9b1
person: curly hair,#1f9d1_200d_1f9b1
woman: white hair,#1f469_200d_1f9b3
person: white hair,#1f9d1_200d_1f9b3
woman: bald,#1f469_200d_1f9b2
person: bald,#1f9d1_200d_1f9b2
woman: blond hair,#1f471_200d_2640_fe0f
man: blond hair,#1f471_200d_2642_fe0f
older person,#1f9d3
old man,#1f474
old woman,#1f475
person frowning,#1f64d
man frowning,#1f64d_200d_2642_fe0f
woman frowning,#1f64d_200d_2640_fe0f
person pouting,#1f64e
man pouting,#1f64e_200d_2642_fe0f
woman pouting,#1f64e_200d_2640_fe0f
person gesturing NO,#1f645
man gesturing NO,#1f645_200d_2642_fe0f
woman gesturing NO,#1f645_200d_2640_fe0f
person gesturing OK,#1f646
man gesturing OK,#1f646_200d_2642_fe0f
woman gesturing OK,#1f646_200d_2640_fe0f
person tipping hand,#1f481
man tipping hand,#1f481_200d_2642_fe0f
woman tipping hand,#1f481_200d_2640_fe0f
person raising hand,#1f64b
man raising hand,#1f64b_200d_2642_fe0f
woman raising hand,#1f64b_200d_2640_fe0f
deaf person,#1f9cf
deaf man,#1f9cf_200d_2642_fe0f
deaf woman,#1f9cf_200d_2640_fe0f
person bowing,#1f647
man bowing,#1f647_200d_2642_fe0f
woman bowing,#1f647_200d_2640_fe0f
person facepalming,#1f926
man facepalming,#1f926_200d_2642_fe0f
woman facepalming,#1f926_200d_2640_fe0f
person shrugging,#1f937
man shrugging,#1f937_200d_2642_fe0f
woman shrugging,#1f937_200d_2640_fe0f
health worker,#1f9d1_200d_2695_fe0f
man health worker,#1f468_200d_2695_fe0f
woman health worker,#1f469_200d_2695_fe0f
student,#1f9d1_200d_1f393
man student,#1f468_200d_1f393
woman student,#1f469_200d_1f393
teacher,#1f9d1_200d_1f3eb
man teacher,#1f468_200d_1f3eb
woman teacher,#1f469_200d_1f3eb
judge,#1f9d1_200d_2696_fe0f
man judge,#1f468_200d_2696_fe0f
woman judge,#1f469_200d_2696_fe0f
farmer,#1f9d1_200d_1f33e
man farmer,#1f468_200d_1f33e
woman farmer,#1f469_200d_1f33e
cook,#1f9d1_200d_1f373
man cook,#1f468_200d_1f373
woman cook,#1f469_200d_1f373
mechanic,#1f9d1_200d_1f527
man mechanic,#1f468_200d_1f527
woman mechanic,#1f469_200d_1f527
factory worker,#1f9d1_200d_1f3ed
man factory worker,#1f468_200d_1f3ed
woman factory worker,#1f469_200d_1f3ed
office worker,#1f9d1_200d_1f4bc
man office worker,#1f468_200d_1f4bc
woman office worker,#1f469_200d_1f4bc
scientist,#1f9d1_200d_1f52c
man scientist,#1f468_200d_1f52c
woman scientist,#1f469_200d_1f52c
technologist,#1f9d1_200d_1f4bb
man technologist,#1f468_200d_1f4bb
woman technologist,#1f469_200d_1f4bb
singer,#1f9d1_200d_1f3a4
man singer,#1f468_200d_1f3a4
woman singer,#1f469_200d_1f3a4
artist,#1f9d1_200d_1f3a8
man artist,#1f468_200d_1f3a8
woman artist,#1f469_200d_1f3a8
pilot,#1f9d1_200d_2708_fe0f
man pilot,#1f468_200d_2708_fe0f
woman pilot,#1f469_200d_2708_fe0f
astronaut,#1f9d1_200d_1f680
man astronaut,#1f468_200d_1f680
woman astronaut,#1f469_200d_1f680
firefighter,#1f9d1_200d_1f692
man firefighter,#1f468_200d_1f692
woman firefighter,#1f469_200d_1f692
police officer,#1f46e
man police officer,#1f46e_200d_2642_fe0f
woman police officer,#1f46e_200d_2640_fe0f
detective,#1f575
man detective,#1f575_fe0f_200d_2642_fe0f
woman detective,#1f575_fe0f_200d_2640_fe0f
guard,#1f482
man guard,#1f482_200d_2642_fe0f
woman guard,#1f482_200d_2640_fe0f
ninja,#1f977
construction worker,#1f477
man construction worker,#1f477_200d_2642_fe0f
woman construction worker,#1f477_200d_2640_fe0f
prince,#1f934
princess,#1f478
person wearing turban,#1f473
man wearing turban,#1f473_200d_2642_fe0f
woman wearing turban,#1f473_200d_2640_fe0f
person with skullcap,#1f472
woman with headscarf,#1f9d5
person in tuxedo,#1f935
man in tuxedo,#1f935_200d_2642_fe0f
woman in tuxedo,#1f935_200d_2640_fe0f
person with veil,#1f470
man with veil,#1f470_200d_2642_fe0f
woman with veil,#1f470_200d_2640_fe0f
pregnant woman,#1f930
breast-feeding,#1f931
woman feeding baby,#1f469_200d_1f37c
man feeding baby,#1f468_200d_1f37c
person feeding baby,#1f9d1_200d_1f37c
baby angel,#1f47c
Santa Claus,#1f385
Mrs. Claus,#1f936
mx claus,#1f9d1_200d_1f384
superhero,#1f9b8
man superhero,#1f9b8_200d_2642_fe0f
woman superhero,#1f9b8_200d_2640_fe0f
